"tingkat","mapel_id","kode_kd","teks_kd"
"1","pabp","1.17","Meyakini kebenaran kisah Nabi Muhammad saw."
"1","pabp","1.5","Menerima adanya Allah Swt. Maha Pengasih, Maha Penyayang, dan Maharaja."
"1","pabp","2.17","Menunjukkan sikap jujur dan kasih sayang sebagai implementasi pemahaman kisah keteladanan Nabi Muhammad saw."
"1","pabp","2.5","Menunjukkan sikap kasih sayang, peduli, kerja sama, dan percaya diri sebagai implementasi pemahaman Al- asmau Al-husna: Ar-Rahman, Ar- Rahim, dan Al-Malik."
"1","pabp","3.17","Memahami kisah keteladanan Nabi Muhammad saw."
"1","pabp","3.5","Memahami  makna  Al-asmau  Al-husna:  Ar-Rahman, Ar-Rahim, dan Al-Malik."
"1","pabp","4.17","Menceritakan kisah keteladanan Nabi Muhammad saw."
"1","pabp","4.5","Melafalkan Al-asmau Al-husna: Ar-Rahman, Ar-Rahim, dan Al-Malik."
"1","pabp","1.2","Terbiasa membaca Al-Qur'an dengan tartil."
"1","pabp","1.1","Terbiasa membaca basmalah setiap memulai belajar Al Qur'an"
"1","pabp","2.2","Menunjukkan sikap kasih sayang dan peduli kepada sesama sebagai implementasi pemahaman Q.S. Al- Fatihah dan Q.S. Al-Ikhlas."
"1","pabp","2.1","Menunjukkan  sikap  percaya  diri  dalam  melafalkan huruf-huruf hijaiah dan harakatnya."
"1","pabp","3.2","Memahami pesan-pesan pokok Q.S. Al-Fatihah dan QS Al Ikhlas"
"1","pabp","3.1","Mengetahui huruf-huruf hijaiah dan harakatnya secara lengkap."
"1","pabp","4.2.1","Melafalkan Q.S. Al-Fatihah dan Q.S. Al-lkhlas dengan benar dan jelas."
"1","pabp","4.2.2","Menunjukkan   hafalan   Q.S.   Al-Fatihah   dan   Q.S. Al Ikhlas dengan benar dan jelas"
"1","pabp","4.1","Melafalkan huruf-huruf hijaiah dan harakatnya secara lengkap."
"1","pabp","1.3","Menerima adanya Allah Swt. yang Maha Pengasih dan Maha Penyayang."
"1","pabp","1.4","Menerima keesaan Allah Swt. berdasarkan pe- ngamatan terhadap dirinya dan makhluk ciptaan-Nya yang dijumpai di sekitar rumah dan sekolah."
"1","pabp","2.3","Menunjukkan     perilaku     percaya     diri     sebagai implementasi pemahaman adanya Allah Swt."
"1","pabp","2.4","Menunjukkan     perilaku     percaya     diri     sebagai implementasi pemahaman keesaan Allah Swt."
"1","pabp","3.3","Memahami adanya Allah Swt. yang Maha Pengasih dan Maha Penyayang."
"1","pabp","3.4","Memahami keesaan Allah Swt. berdasarkan peng- amatan terhadap dirinya dan makhluk ciptaan-Nya yang dijumpai di sekitar rumah dan sekolah."
"1","pabp","4.3","Menunjukkan bukti-bukti adanya Allah Swt. yang Maha Pengasih dan Maha Penyayang"
"1","pabp","4.4","Menunjukkan  bukti-bukti  keesaan  Allah  Swt. berdasarkan pengamatan terhadap dirinya dan makhluk ciptaan-Nya yang dijumpai di sekitar rumah dan sekolah."
"1","pabp","1.11","Terbiasa bersuci sebelum beribadah."
"1","pabp","2.11","Menunjukkan perilaku bersih badan, pakaian, barang- barang, dan tempat sebagai implementasi pemahaman makna bersuci."
"1","pabp","3.11","Memahami tata cara bersuci."
"1","pabp","4.11","Mempraktikkan tata cara bersuci."
"1","pabp","1.13","Meyakini kebenaran kisah Nabi Adam a.s."
"1","pabp","1.15","Meyakini kebenaran kisah Nabi Nuh a.s."
"1","pabp","1.16","Meyakini kebenaran kisah Nabi Hud a.s."
"1","pabp","2.13","Menunjukkan  sikap  pemaaf  sebagai  implementasi pemahaman kisah keteladanan Nabi Adam a.s."
"1","pabp","2.15","Menunjukkan   sikap   kerja   keras   dan   kerja   sama sebagai implementasi pemahaman kisah keteladanan Nabi Nuh a.s."
"1","pabp","2.16","Menunjukkan   sikap   sopan   dan   santun   sebagai implementasi  pemahaman  kisah  keteladanan  Nabi Hud a.s."
"1","pabp","3.13","Memahami kisah keteladanan Nabi Adam a.s."
"1","pabp","3.15","Memahami kisah keteladanan Nabi Nuh a.s."
"1","pabp","3.16","Memahami kisah keteladanan Nabi Hud a.s."
"1","pabp","4.13","Menceritakan kisah keteladanan Nabi Adam a.s."
"1","pabp","4.15","Menceritakan kisah keteladanan Nabi Nuh a.s."
"1","pabp","4.16","Menceritakan kisah keteladanan Nabi Hud a.s."
"1","pabp","1.14","Meyakini kebenaran kisah Nabi Idris a.s."
"1","pabp","1.7","Terbiasa berdoa sebelum dan sesudah belajar"
"1","pabp","2.14","Menunjukkan sikap semangat dan rajin belajar sebagai implementasi dari pemahaman kisah keteladanan nabi Idris a.s."
"1","pabp","2.7","Menunjukkan sikap disiplin sebagai implementasi dari pemahaman makna doa sebelum dan sesudah belajar"
"1","pabp","3.14","Memahami kisah keteladanan Nabi Idris a.s."
"1","pabp","3.7","Memahami makna doa sebelum dan sesudah belajar"
"1","pabp","4.14","Menceritakan kisah keteladanan Nabi Idris a.s."
"1","pabp","4.7","melafalkan doa sebelum dan sesudah belajar dengan benar dan jelas"
"1","pabp","1.2","Terbiasa membaca Al-Qur'an dengan tartil."
"1","pabp","2.2","Menunjukkan sikap kasih sayang dan peduli kepada sesama sebagai implementasi pemahaman Q.S. Al- Fatihah dan Q.S. Al-Ikhlas."
"1","pabp","3.2","Memahami pesan-pesan pokok Q.S. Al-Fatihah dan QS Al Ikhlas"
"1","pabp","4.2.1","Melafalkan Q.S. Al-Fatihah dan Q.S. Al-lkhlas dengan benar dan jelas."
"1","pabp","4.2.2","Menunjukkan   hafalan   Q.S.   Al-Fatihah   dan   Q.S. Al Ikhlas dengan benar dan jelas"
"1","pabp","1.5","Menerima adanya Allah Swt. Maha Pengasih, Maha Penyayang, dan Maharaja."
"1","pabp","1.6","menerima dan mengakui makna dua kalimat syahadat"
"1","pabp","2.5","Menunjukkan sikap kasih sayang, peduli, kerja sama, dan percaya diri sebagai implementasi pemahaman Al- asmau Al-husna: Ar-Rahman, Ar- Rahim, dan Al-Malik."
"1","pabp","2.6","menunjukkan sikap teguh pendirian sebagai implementasi dari pemahaman makna dua kalimat syahadat"
"1","pabp","3.5","Memahami  makna  Al-asmau  Al-husna:  Ar-Rahman, Ar-Rahim, dan Al-Malik."
"1","pabp","3.6","memahami makna dua kalimat syahadat"
"1","pabp","4.5","Melafalkan Al-asmau Al-husna: Ar-Rahman, Ar-Rahim, dan Al-Malik."
"1","pabp","4.6","melafalkan dua kalimat syahadat dengan benar dan jelas"
"1","pabp","1.12","Menjalankan shalat dengan tertib"
"1","pabp","2.12","Menunjukkan sikap disiplin sebagai implementasi dari pemahaman shalat dan kegiatan agama yang dianutnya di sekitar rumahnya melalui pengamatan"
"1","pabp","3.12","Memahami shalat dan kegiatan agama di sekitar rumahnya melalui pengamatan"
"1","pabp","4.12.1","Mempraktekkan shalat dan kegiatan agama di sekitar rumahnya melalui pengamatan"
"1","pabp","4.12.2","Mencontohkan kegiatan agama di sekitar rumahnya"
"1","pabp","1.9","Meyakini bahwa berkata yang baik, sopan dan santun sebagai cerminan dari iman"
"1","pabp","1.8","Meyakini bahwa perilaku hormat dan patuh kepada orang tua dan guru sebagai cerminan dari iman"
"1","pabp","1.10","Meyakini bahwa bersyukur, pemaaf, jujur dan percaya diri sebagai cerminan dari iman"
"1","pabp","2.9","Menunjukkan sikap yang baik, sopan, dan santun ketika berbicara"
"1","pabp","2.8","Menunjukkan perilaku hormat dan patuh kepada orang tua dan guru"
"1","pabp","2.10","Menunjukkan perilaku bersyukur, pemaaf, jujur dan percaya diri "
"1","pabp","3.9","Memahami berkata yang baik, sopan dan santun"
"1","pabp","3.8","Memahami perilaku hormat  dan patuh kepada orang tua dan guru"
"1","pabp","3.10","memahami makna bersyukur, pemaaf, jujur dan percaya diri"
"1","pabp","4.8","Mencontohkan perilaku hormat dan patuh kepada orang tua dan guru"
"1","pabp","4.9","Mencontohkan cara berkata yang baik, sopan dan santun"
"1","pabp","4.10","Mencontohkan perilaku bersyukur, pemaaf, jujur dan percaya diri"
