tingkat,jenjang,mapel_id,ki_id,kode_kd,teks_kd,sekolah_id
3,sd,pabp,1,1.2,"Meyakini hadis yang terkait dengan perilaku mandiri, percaya diri, dan bertanggung jawab.",
3,sd,pabp,2,2.2,"Menunjukkan perilaku mandiri, percaya diri, dan bertanggung jawab.",
3,sd,pabp,3,3.2,"Memahami hadis yang terkait dengan perilaku mandiri, percaya diri, dan bertanggung jawab.",
3,sd,pabp,4,4.2,"Mencontohkan perilaku mandiri, percaya diri, dan bertanggung jawab sebagai implementasi makna hadis yang terkandung.",
3,sd,pabp,1,1.1,Terbiasa membaca Alquran dengan tartil.,
3,sd,pabp,2,2.1,Menunjukkan sikap peduli terhadap sesama sebagai implementasi pemahaman Q.S. An-Nasr dan Q.S. Al-Kausar.,
3,sd,pabp,3,3.1,Memahami makna Q.S. An-Nasr dan Q.S. Al-Kausar.,
3,sd,pabp,4,4.1.1,Membaca kalimat-kalimat dalam Q.S. An-Nasr dan Q.S. Al-Kausar dengan benar.,
3,sd,pabp,4,4.1.2,Menuliskan kalimat-kalimat dalam Q.S. An-Nasr dan Q.S. Al-Kausar dengan benar.,
3,sd,pabp,4,4.1.3,Menunjukkan hafalan Q.S.An-Nasr dan Q.S. Al-Kausar dengan lancar.,
3,sd,pabp,1,1.3,Meyakini keesaan Allah Swt. Yang Maha Pencipta berdasarkan pengamatan terhadap dirinya dan makhluk ciptaanNya yang dijumpai di sekitar rumah dan sekolah.,
3,sd,pabp,1,1.4,"Meyakini adanya Allah Swt. Yang Maha Pemberi, Maha Mengetahui, dan Maha Mendengar.",
3,sd,pabp,2,2.3,Menunjukkan sikap kerja sama sebagai implementasi pemahaman keesaan Allah Swt.,
3,sd,pabp,2,2.4,"Menunjukkan sikap peduli, berbuat baik, dan berhati-hati sebagai implementasi pemahaman al asmau al-husna: Al-Wahhab, Al-‘Alim, dan As-Sami’.",
3,sd,pabp,3,3.3,Memahami keesaan Allah Yang Maha Pencipta berdasarkan pengamatan terhadap dirinya dan makhluk ciptaan-Nya yang dijumpainya di sekitar rumah dan sekolah.,
3,sd,pabp,3,3.4,"Memahami makna al-asmau al husna: Al-Wahhab, Al-‘Alim, dan As-Sami’.",
3,sd,pabp,4,4.3,Melakukan pengamatan terhadap diri dan makhluk ciptaan Allah yang dijumpainya di sekitar rumah dan sekolah sebagai implementasi iman terhadap keesaan Allah Yang Maha Pencipta.,
3,sd,pabp,4,4.4,"Membaca al-asmau al-husna: Al-Wahhab, Al-‘Alim, dan As-Sami’ dengan jelas dan benar.",
3,sd,pabp,1,1.5,"Meyakini bahwa perilaku tawaduk, ikhlas, dan mohon pertolongan sebagai cerminan dari iman.",
3,sd,pabp,2,2.5,"Menunjukkan perilaku tawaduk, ikhlas, dan mohon pertolongan.",
3,sd,pabp,3,3.5,"Memahami perilaku tawaduk, ikhlas, dan mohon pertolongan.",
