"tingkat","mapel_id","bab_id","ki_id","kd_id"
"2","pabp","1","1","1.15"
"2","pabp","1","2","2.15"
"2","pabp","1","3","3.15"
"2","pabp","1","4","4.15"
"2","pabp","2","1","1.1"
"2","pabp","2","1","1.2"
"2","pabp","2","2","2.1"
"2","pabp","2","2","2.2"
"2","pabp","2","3","3.1"
"2","pabp","2","3","3.2"
"2","pabp","2","4","4.1"
"2","pabp","2","4","4.2.1"
"2","pabp","2","4","4.2.2"
"2","pabp","3","1","1.5"
"2","pabp","3","2","2.5"
"2","pabp","3","3","3.5"
"2","pabp","3","4","4.5"
"2","pabp","4","1","1.8"
"2","pabp","4","2","2.8"
"2","pabp","4","3","3.8"
"2","pabp","4","4","4.8"
"2","pabp","5","1","1.4"
"2","pabp","5","2","2.4"
"2","pabp","5","3","3.4"
"2","pabp","5","4","4.4"
"2","pabp","6","1","1.9"
"2","pabp","6","2","2.9"
"2","pabp","6","3","3.9"
"2","pabp","6","4","4.9"
"2","pabp","7","1","1.3"
"2","pabp","7","1","1.11"
"2","pabp","7","2","2.3"
"2","pabp","7","2","2.11"
"2","pabp","7","3","3.3"
"2","pabp","7","3","3.11"
"2","pabp","7","4","4.3"
"2","pabp","7","4","4.11"
"2","pabp","8","1","1.2"
"2","pabp","8","1","1.12"
"2","pabp","8","2","2.2"
"2","pabp","8","2","2.12"
"2","pabp","8","3","3.2"
"2","pabp","8","3","3.12"
"2","pabp","8","4","4.2.1"
"2","pabp","8","4","4.2.2"
"2","pabp","8","4","4.12"
"2","pabp","9","1","1.5"
"2","pabp","9","2","2.5"
"2","pabp","9","3","3.5"
"2","pabp","9","4","4.5"
"2","pabp","10","1","1.7"
"2","pabp","10","1","1.14"
"2","pabp","10","2","2.7"
"2","pabp","10","2","2.14"
"2","pabp","10","3","3.7"
"2","pabp","10","3","3.14"
"2","pabp","10","4","4.7"
"2","pabp","10","4","4.14"
"2","pabp","11","1","1.10"
"2","pabp","11","2","2.10"
"2","pabp","11","3","3.10"
"2","pabp","11","4","4.10"
"2","pabp","12","1","1.5"
"2","pabp","12","1","1.13"
"2","pabp","12","2","2.5"
"2","pabp","12","2","2.13"
"2","pabp","12","3","3.5"
"2","pabp","12","3","3.13"
"2","pabp","12","4","4.5"
"2","pabp","12","4","4.13"
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
