"tingkat","mapel_id","bab_id","ki_id","kd_id",
"4","pabp","1","1","1.1","1"
"4","pabp","1","2","2.1",
"4","pabp","1","3","3.1",
"4","pabp","1","4","4.1.1",
"4","pabp","1","4","4.1.2",
"4","pabp","1","4","4.1.3",
"4","pabp","2","1","1.2",
"4","pabp","2","1","1.3",
"4","pabp","2","1","1.5",
"4","pabp","2","2","2.2",
"4","pabp","2","2","2.3",
"4","pabp","2","2","2.5",
"4","pabp","2","3","3.2",
"4","pabp","2","3","3.3",
"4","pabp","2","3","3.5",
"4","pabp","2","4","4.2",
"4","pabp","2","4","4.3",
"4","pabp","2","4","4.5",
"4","pabp","3","1","1.6",
"4","pabp","3","1","1.9",
"4","pabp","3","1","1.10",
"4","pabp","3","1","1.11",
"4","pabp","3","1","1.20",
"4","pabp","3","2","2.6",
"4","pabp","3","2","2.9",
"4","pabp","3","2","2.10",
"4","pabp","3","2","2.11",
"4","pabp","3","2","2.20",
"4","pabp","3","3","3.6",
"4","pabp","3","3","3.9",
"4","pabp","3","3","3.10",
"4","pabp","3","3","3.11",
"4","pabp","3","3","3.20",
"4","pabp","3","4","4.6",
"4","pabp","3","4","4.9",
"4","pabp","3","4","4.10",
"4","pabp","3","4","4.11",
"4","pabp","3","4","4.20",
"4","pabp","4","1","1.14",
"4","pabp","4","2","2.14",
"4","pabp","4","3","3.14",
"4","pabp","4","4","4.14",
"4","pabp","5","1","1.16",
"4","pabp","5","1","1.17",
"4","pabp","5","1","1.18",
"4","pabp","5","1","1.19",
"4","pabp","5","2","2.16",
"4","pabp","5","2","2.17",
"4","pabp","5","2","2.18",
"4","pabp","5","2","2.19",
"4","pabp","5","3","3.16",
"4","pabp","5","3","3.17",
"4","pabp","5","3","3.18",
"4","pabp","5","3","3.19",
"4","pabp","5","4","4.16",
"4","pabp","5","4","4.17",
"4","pabp","5","4","4.18",
"4","pabp","5","4","4.19",
"4","pabp","6","1","1.1",
"4","pabp","6","2","2.1",
"4","pabp","6","3","3.1",
"4","pabp","6","4","4.1.1",
"4","pabp","6","4","4.1.2",
"4","pabp","6","4","4.1.3",
"4","pabp","7","1","1.4",
"4","pabp","7","2","2.4",
"4","pabp","7","3","3.4",
"4","pabp","7","4","4.4",
"4","pabp","8","1","1.7",
"4","pabp","8","1","1.8",
"4","pabp","8","1","1.12",
"4","pabp","8","1","1.13",
"4","pabp","8","2","2.7",
"4","pabp","8","2","2.8",
"4","pabp","8","2","2.12",
"4","pabp","8","2","2.13",
"4","pabp","8","3","3.7",
"4","pabp","8","3","3.8",
"4","pabp","8","3","3.12",
"4","pabp","8","3","3.13",
"4","pabp","8","4","4.7",
"4","pabp","8","4","4.8",
"4","pabp","8","4","4.12",
"4","pabp","8","4","4.13",
"4","pabp","9","1","1.15",
"4","pabp","9","2","2.15",
"4","pabp","9","3","3.15",
"4","pabp","9","4","4.15.1",
"4","pabp","9","4","4.15.2",
"4","pabp","10","1","1.21",
"4","pabp","10","2","2.21",
"4","pabp","10","3","3.21",
"4","pabp","10","4","4.21",
