tingkat,tema_id,kode_subtema,teks_subtema,jenjang,sekolah_id
1,1-1,1-1-1,Aku dan Teman Baru,sd,
1,1-1,1-1-2,Tubuhku,sd,
1,1-1,1-1-3,Aku Merawat Tubuhku,sd,
1,1-1,1-1-4,Aku Istimewa,sd,
1,1-2,1-2-1,Gemar Berolahraga,sd,
1,1-2,1-2-2,Gemar Bernyanyi dan Menari,sd,
1,1-2,1-2-3,Gemar Menggambar,sd,
1,1-2,1-2-4,Gemar Membaca,sd,
1,1-3,1-3-1,Kegiatan Pagi Hari,sd,
1,1-3,1-3-2,Kegiatan Siang Hari,sd,
1,1-3,1-3-3,Kegiatan Sore Hari,sd,
1,1-3,1-3-4,Kegiatan Malam Hari,sd,
1,1-4,1-4-1,Anggota Keluargaku,sd,
1,1-4,1-4-2,Kegaitan Keluargaku,sd,
1,1-4,1-4-3,Keluarga Besarku,sd,
1,1-4,1-4-4,Kebersamaan dalam Keluarga,sd,
1,1-5,1-5-1,Pengalaman Masa Kecil,sd,
1,1-5,1-5-2,Pengalaman Bersama Teman,sd,
1,1-5,1-5-3,Pengalaman di Sekolah,sd,
1,1-5,1-5-4,Pengalaman yang Berkesan,sd,
1,1-6,1-6-1,Lingkungan Rumahku,sd,
1,1-6,1-6-2,Lingkungan Sekitar Rumahku,sd,
1,1-6,1-6-3,Lingkungan sekolahku,sd,
1,1-6,1-6-4,Bekerja Sama Menjaga kebersihan dan Kesehatan Lingkunga,sd,
1,1-7,1-7-1,Benda Hidup dan Tak Hidup di Sekitarku,sd,
1,1-7,1-7-2,Hewan di Sekitarku,sd,
1,1-7,1-7-3,Tanaman di Sekitarku,sd,
1,1-7,1-7-4,"Bentuk, Warna, Ukuran, dan Permukaan Benda",sd,
1,1-8,1-8-1,Cuaca,sd,
1,1-8,1-8-2,Musim Kemarau,sd,
1,1-8,1-8-3,Musim Penghujan,sd,
1,1-8,1-8-4,Bencana Alam,sd,
2,2-1,2-1-1,Hidup Rukun di Rumah,sd,
2,2-1,2-1-2,Hidup Rukun dengan Teman Bermain,sd,
2,2-1,2-1-3,Hidup Rukun di Sekolah,sd,
2,2-1,2-1-4,Hidup Rukun di Masyarakat,sd,
2,2-2,2-2-1,Bermain di Lingkungan Rumah,sd,
2,2-2,2-2-2,Bermain di Rumah Teman,sd,
2,2-2,2-2-3,Bermain di Lingkungan Sekolah,sd,
